SID,CID,GRADE
04005581,CE-02,44.4
04008491,CHEM-02,89.5
04007220,ENV-03,84.5
04008741,PSY-04,92.1
04004371,MUS-03,81.0
04004951,LAW-04,52.8
04009841,ART-05,59.1
04009610,ME-05,91.1
04008291,PSY-01,87.6
04001811,ART-05,66.6
04009051,STAT-05,73.2
04008491,STAT-01,89.8
04004131,MUS-02,84.7
04002841,SE-03,83.3
04002530,PSY-02,92.3
04000310,MUS-03,31.6
04009980,CE-05,84.3
04004381,BME-04,93.5
04001451,LAW-01,80.9
04000041,STAT-02,95.0
04003551,CE-01,56.9
04001420,SE-04,71.8
04009850,PHIL-04,84.9
04004770,ECON-05,64.9
04000721,LAW-03,80.6
04004540,LAW-02,49.1
04004691,PHIL-03,90.0
04004350,ECON-05,72.0
04006130,MATH-01,93.6
04004941,ART-04,79.9
04008961,BIO-05,62.8
04004260,ART-05,76.1
04007781,PHIL-05,76.8
04008461,SE-03,73.7
04002311,ECON-03,84.9
04002271,PSY-04,47.0
04007150,LAW-03,52.9
04007930,CE-02,65.7
04001431,STAT-01,66.6
04002031,MUS-01,80.6
04002491,STAT-02,66.4
04006321,CS-01,80.1
04006350,SOC-02,75.0
04003671,LAW-03,57.6
04005370,BIO-04,74.9
04005741,CHEM-05,74.0
04009461,CE-01,71.3
04006891,SE-05,63.1
04006240,SE-04,45.2
04009651,CHEM-02,81.6
04008371,EE-01,86.9
04002080,BIO-01,81.5
04002450,ME-04,67.9
04001460,CHEM-02,87.2
04004631,EE-01,86.4
04006120,MUS-05,68.2
04008711,BME-04,88.2
04006520,CHEM-02,37.9
04006841,PHIL-01,66.4
04004001,MUS-01,49.7
04004240,BIO-02,49.0
04000700,ME-02,87.5
04005231,SE-03,88.3
04005380,ENV-02,89.2
04009490,LAW-05,68.7
04009801,CE-03,60.0
04007860,SE-04,73.2
04009651,STAT-01,58.0
04004890,EE-01,61.7
04004411,PHYS-01,87.4
04005141,HIST-05,60.2
04000671,EE-05,90.9
04001460,STAT-01,95.3
04003200,CS-04,74.2
04006841,CHEM-05,58.0
04009671,HIST-02,91.5
04003331,ENV-03,92.5
04000051,SOC-02,91.8
04008231,PHIL-04,77.4
04009911,SOC-05,87.2
04008441,ART-05,41.9
04001301,ENV-04,71.7
04007661,CHEM-04,71.4
04009711,ECON-05,84.1
04007731,HIST-04,91.0
04000660,BIO-02,91.1
04007731,ENV-05,84.6
04002481,SOC-05,67.6
04009171,PHIL-03,50.5
04004070,ECON-01,84.3
04004890,EE-05,59.1
04004050,ME-04,90.6
04009120,STAT-01,48.9
04008801,PHIL-04,88.2
04005171,PHIL-03,63.3
04005801,CHEM-05,75.1
04009931,PHYS-01,96.4
04009350,LAW-01,75.5
04007200,BME-01,88.1
04006651,ECON-05,87.1
04004581,ENV-05,70.4
04003871,ART-02,70.0
04001831,PHIL-05,87.2
04006390,SOC-04,72.3
04008731,PHIL-05,63.4
04009990,PSY-03,66.7
04004381,SOC-03,77.6
04008631,ECON-05,70.8
04005481,SE-04,76.3
04000331,STAT-03,86.2
04006841,SE-01,76.3
04001451,BME-01,82.2
04003641,PHIL-03,88.2
04002381,PHYS-02,65.3
04004280,BME-03,97.2
04000371,PHIL-04,72.2
04001561,SE-05,64.8
04005721,HIST-04,49.7
04003880,SE-04,82.4
04003700,STAT-02,74.3
04008381,ART-02,44.7
04003991,CE-03,31.6
04001921,MATH-01,63.7
04003770,SOC-03,74.7
04008001,CHEM-04,77.4
04000051,LAW-01,69.7
04007680,CE-02,72.4
04002190,BIO-04,86.4
04009221,LAW-01,95.7
04000760,EE-03,37.3
04000451,STAT-03,68.0
04002861,PHIL-03,91.4
04003980,HIST-03,95.9
04004951,MUS-04,85.8
04009880,ECON-04,87.8
04001590,PHIL-03,66.7
04001571,ENV-01,82.5
04003720,BME-04,89.8
04003871,PHIL-01,65.5
04004121,PSY-01,66.2
04008980,PSY-03,52.9
04006560,CHEM-02,62.5
04005921,ECON-02,69.7
04001631,LAW-05,79.3
04009270,ART-01,41.3
04009200,CE-02,95.9
04009141,PSY-01,85.8
04003481,ENV-03,70.8
04008641,SOC-02,74.5
04003311,ENV-01,64.7
04006021,SE-04,30.0
04001991,EE-02,81.2
04005570,CS-04,39.9
04002281,HIST-04,78.9
04008381,PHIL-01,63.3
04002311,BIO-02,69.0
04002190,BME-04,92.2
04007610,PSY-05,50.2
04001331,PSY-01,57.6
04009701,CS-05,55.3
04007101,SE-04,53.8
04000051,SE-05,69.3
04006120,ART-04,57.8
04007820,CS-05,69.3
04007920,MUS-01,69.2
04003081,STAT-03,66.3
04007881,CS-05,72.8
04002090,CHEM-02,81.1
04001481,PHYS-04,83.8
04006721,PHYS-01,43.4
04000610,HIST-05,68.9
04007231,BME-01,32.7
04000341,SOC-04,79.0
04004590,CS-04,77.8
04001341,BIO-05,64.3
04007091,ENV-01,49.2
04005951,ME-01,94.4
04006310,SE-03,74.1
04005611,ART-03,65.5
04009990,MUS-04,93.1
04006941,LAW-05,64.8
04007840,CHEM-04,30.0
04008930,PHIL-01,49.4
04004530,CHEM-02,74.9
04005560,SOC-03,64.5
04005011,CE-04,74.3
04007261,LAW-03,80.4
04008550,PHYS-01,60.9
04004021,EE-01,82.6
04008930,CHEM-05,96.3
04003801,LAW-01,57.5
04004530,STAT-01,82.1
04000990,PHYS-01,82.4
04008590,ECON-03,72.5
04001490,SE-03,70.9
04006770,SE-01,59.3
04005650,ENV-03,73.3
04002350,ME-01,61.4
04005131,EE-04,71.2
04003070,LAW-05,58.9
04003521,STAT-02,51.5
04006551,STAT-05,69.3
04005810,PHYS-02,79.3
04005451,ME-03,91.5
04009701,CHEM-01,69.3
04007590,SE-04,79.9
04003510,LAW-01,76.4
04008980,MUS-04,71.2
04006331,ENV-03,85.2
04000051,BME-01,53.4
04004321,ME-02,60.3
04009221,BME-01,77.8
04002511,PHIL-05,88.3
04007740,PHYS-04,67.8
04008991,HIST-01,31.2
04007710,STAT-04,33.0
04009761,MATH-02,89.0
04005810,BIO-05,94.0
04003720,SOC-03,70.8
04008890,EE-02,86.3
04001670,MATH-03,91.1
04009001,MUS-01,78.4
04003051,PHIL-05,59.0
04006411,ME-04,79.1
04001670,STAT-05,64.3
04005551,SOC-05,62.7
04007141,CHEM-01,85.7
04001160,CHEM-03,90.2
04004070,PHIL-02,97.2
04000110,EE-04,44.0
04004860,STAT-03,68.2
04007680,SE-01,74.7
04000161,HIST-02,42.8
04007551,CS-01,72.5
04007531,MATH-03,49.9
04004381,EE-01,54.8
04005650,CS-05,90.2
04009440,CS-03,35.4
04000740,MATH-05,56.7
04006920,STAT-05,74.8
04007401,ECON-03,90.9
04003381,EE-04,67.8
04008600,ENV-03,75.8
04002570,EE-04,60.5
04008320,ECON-05,71.4
04005401,ENV-03,79.8
04006010,PHIL-02,64.9
04005511,LAW-03,48.2
04005750,CHEM-04,31.3
04005131,ME-03,94.2
04001050,ME-01,83.1
04005840,SOC-01,75.6
04001620,PHIL-01,54.7
04002060,MATH-02,75.0
04005840,SOC-04,46.7
04009801,LAW-03,97.1
04005961,BIO-05,58.5
04008771,BIO-03,91.5
04000651,STAT-02,88.9
04002920,PHIL-05,50.7
04006250,SOC-01,84.6
04006761,MUS-02,69.2
04003081,ART-01,59.6
04008130,BME-02,63.6
04005781,ME-04,65.3
04007310,PSY-02,97.6
04005191,ART-01,55.7
04004960,PHYS-05,78.2
04003801,BME-01,65.2
04005501,PHYS-03,47.7
04006290,CS-03,61.0
04003111,CHEM-02,65.6
04004880,PSY-03,85.7
04001590,MATH-04,84.6
04004061,BIO-02,59.8
04009621,ART-01,93.9
04005131,CE-05,69.0
04007191,ME-03,46.0
04004260,PHYS-02,81.8
04000771,PHIL-01,48.5
04005110,PSY-01,82.3
04006701,PSY-02,64.0
04004830,SE-03,83.3
04000880,ENV-03,74.5
04003341,EE-02,43.9
04009661,SE-02,95.0
04000941,STAT-05,72.7
04004310,ECON-04,45.1
04002910,SOC-01,57.3
04002910,SOC-04,78.3
04008330,ECON-04,94.4
04008020,EE-04,78.1
04009040,ENV-02,79.0
04007191,CE-05,69.0
04004081,CS-04,69.7
04004731,ECON-03,65.5
04008120,PHYS-04,60.7
04004440,ART-05,86.6
04001131,PHIL-03,50.1
04006510,ENV-03,43.5
04000191,CS-02,79.4
04003061,SOC-05,71.1
04007700,STAT-05,84.4
04006950,STAT-03,61.1
04000870,CE-03,57.5
04008570,PSY-03,47.4
04000071,PHIL-05,69.1
04004760,PSY-03,73.2
04000240,PSY-01,71.7
04006640,BME-03,91.0
04007420,SE-03,57.0
04000441,ME-02,60.5
04008011,EE-04,30.0
04002031,PHIL-02,80.6
04000110,CE-05,89.7
04002901,STAT-03,72.2
04008760,ART-04,49.5
04009761,CHEM-01,81.9
04001250,STAT-03,77.8
04002570,ME-03,61.6
04006531,STAT-01,82.2
04009120,PSY-04,34.7
04009400,SOC-05,60.7
04002570,BIO-01,95.9
04002371,STAT-01,79.5
04009001,SE-02,81.8
04001611,SE-05,77.3
04001540,CE-03,62.7
04008750,CHEM-01,85.6
04003441,EE-01,83.1
04004031,PHYS-01,72.1
04002670,SOC-03,59.0
04000730,ART-04,46.9
04002321,BIO-04,72.7
04004360,SOC-01,59.2
04001380,SOC-02,74.8
04008221,MATH-04,72.6
04008081,PSY-02,43.8
04002611,ME-02,54.8
04005161,ME-03,70.3
04004860,ART-01,74.6
04000911,MUS-05,84.3
04002691,ART-02,40.9
04008520,SOC-02,74.6
04002330,ME-02,80.7
04003151,ENV-02,70.7
04001110,CE-05,39.0
04004540,EE-05,58.4
04000591,PHIL-05,50.2
04007551,ME-04,82.5
04008580,PSY-01,68.0
04002300,HIST-01,58.5
04000971,BME-02,71.0
04007391,BME-05,53.9
04007401,BIO-02,71.8
04005600,STAT-04,80.6
04001821,STAT-04,42.2
04000751,HIST-04,62.8
04001941,PSY-03,44.8
04007860,PHYS-03,66.1
04009571,MUS-01,70.8
04007811,EE-02,92.6
04001991,ECON-05,97.3
04003191,PSY-02,98.1
04005991,HIST-04,89.5
04001731,HIST-01,64.8
04006260,BIO-03,61.8
04009411,CHEM-02,52.4
04002760,MUS-01,69.9
04005901,CS-05,78.1
04008410,PSY-03,72.4
04002691,PHIL-01,78.2
04005261,HIST-05,96.4
04006861,MATH-04,92.7
04000880,CHEM-01,75.6
04002271,CE-04,68.5
04008561,PSY-05,73.1
04002530,CS-02,78.6
04009411,STAT-01,88.1
04000870,ME-02,61.0
04003431,SE-04,52.9
04005410,CE-02,78.9
04005301,MATH-02,87.8
04007731,LAW-01,87.3
04007021,LAW-03,74.4
04002010,LAW-04,62.4
04003271,ART-01,87.5
04008011,CE-05,74.0
04006781,SOC-05,80.5
04009951,PHIL-03,85.3
04008961,PSY-02,66.5
04009610,CHEM-04,49.9
04002101,LAW-01,84.6
04006710,PHYS-03,73.9
04001761,PHIL-03,46.1
04006790,BIO-05,83.9
04007720,HIST-01,85.8
04007161,CS-05,70.8
04000600,HIST-05,59.8
04002650,MUS-01,77.2
04004731,BIO-02,69.8
04000581,CS-03,48.9
04004631,SE-02,86.6
04004820,LAW-04,49.2
04007321,ECON-03,82.8
04006981,ECON-04,58.4
04006000,PSY-03,94.7
04002570,CS-03,47.6
04008200,SOC-01,78.0
04007331,MUS-03,58.6
04004711,MUS-05,58.8
04009091,ART-01,47.9
04004830,SOC-05,67.1
04006060,ENV-03,72.3
04009331,CHEM-02,93.8
04002350,PHIL-02,94.2
04009051,PHIL-03,35.5
04001941,MUS-04,44.2
04002901,ART-01,64.2
04002830,BME-02,70.8
04003530,ART-01,73.7
04005341,CS-04,60.4
04008781,BIO-01,33.3
04000001,PHYS-04,73.4
04006841,MATH-01,53.8
04003540,STAT-04,90.3
04000441,LAW-03,58.9
04004610,PHYS-04,73.9
04003281,PHIL-03,79.7
04002101,SE-05,78.9
04001711,LAW-05,73.1
04006280,LAW-05,78.2
04000551,ART-02,71.7
04002230,EE-03,84.5
04002251,BME-01,84.6
04000760,ART-04,43.7
04007911,LAW-01,90.4
04004960,BIO-05,97.2
04007161,CS-02,63.1
04000171,LAW-04,85.6
04002640,PSY-01,75.2
04008681,CE-02,87.5
04004640,STAT-04,83.6
04009830,SOC-04,73.1
04004890,ECON-01,83.1
04000310,MUS-02,91.0
04005410,PHIL-01,89.2
04008020,CS-03,57.9
04004871,ENV-03,81.7
04005380,BIO-02,82.9
04008980,CS-01,43.9
04000331,BIO-05,43.0
04005741,PHIL-04,82.4
04006591,CHEM-02,58.8
04006060,CS-05,65.5
04001880,BIO-02,59.0
04007760,HIST-05,94.2
04002450,PHYS-02,53.8
04009861,ECON-05,83.8
04000700,ENV-05,61.9
04006690,PHIL-01,49.2
04000621,PHYS-04,48.0
04004850,LAW-03,87.3
04002140,ME-05,51.8
04004070,ART-03,87.9
04008671,EE-02,87.5
04001580,ECON-03,81.5
04000551,PHIL-01,73.1
04009181,LAW-03,63.6
04005730,ECON-05,96.9
04007991,EE-01,94.8
04007870,CE-05,47.9
04006581,STAT-03,63.5
04009451,EE-03,62.3
04009371,CE-03,85.6
04006080,LAW-01,42.0
04004651,LAW-01,45.8
04004930,CHEM-02,83.0
04002101,BME-01,57.5
04005721,SOC-04,83.9
04009190,SE-01,72.7
04001471,LAW-02,77.5
04002871,PHIL-01,80.8
04004581,BME-01,56.6
04007671,ART-03,93.1
04009091,PHYS-05,72.8
04002710,PHYS-03,88.4
04000430,CE-02,47.5
04009461,EE-02,85.8
04004601,HIST-02,69.1
04009731,CHEM-02,91.6
04006060,CS-02,74.5
04002210,SOC-05,35.2
04009810,MATH-03,72.3
04000641,PSY-04,80.2
04001120,STAT-03,74.7
04005591,BME-03,59.3
04007431,CE-05,77.2
04005801,PHIL-04,85.6
04005151,STAT-04,90.6
04000081,BME-04,76.3
04005530,MATH-04,83.9
04003790,MUS-01,56.1
04000660,LAW-02,90.6
04000721,HIST-02,75.1
04002010,MUS-04,90.5
04003081,BIO-05,61.1
04004751,CHEM-03,72.2
04008991,CE-01,94.5
04009731,STAT-01,63.4
04006770,MATH-01,49.8
04004081,SE-03,92.3
04007321,BIO-02,58.8
04001341,PSY-02,73.9
04006361,ECON-04,73.7
04003261,CE-04,61.4
04000010,MATH-01,90.5
04004590,LAW-03,90.1
04009971,EE-03,87.0
04008871,PHIL-02,65.8
04008311,STAT-04,59.6
04002281,BME-01,62.8
04003300,CE-03,95.4
04000951,CE-02,83.1
04007631,SOC-03,60.4
04001951,ME-02,96.1
04002771,ART-03,74.8
04004440,PHYS-02,74.0
04003181,ENV-02,76.5
04002371,PSY-04,84.8
04008260,STAT-04,76.2
04007310,ENV-03,62.7
04002801,MATH-04,85.1
04001170,BIO-01,78.5
04005851,HIST-01,79.2
04001191,SE-02,76.1
04000501,ECON-05,56.5
04003781,MUS-03,91.6
04004651,SOC-04,50.5
04008430,EE-04,51.8
04002031,ART-03,94.4
04005310,ECON-03,87.5
04007680,MATH-01,82.8
04001311,SE-03,75.5
04003871,PHIL-04,76.4
04006400,PHYS-04,62.4
04005611,ART-04,35.9
04003610,CE-01,81.3
04002020,BME-03,81.7
04006010,EE-03,98.2
04004900,STAT-02,59.2
04006140,ENV-03,86.6
04007200,MATH-03,74.7
04007980,CS-04,90.6
04007120,BIO-04,77.5
04007200,STAT-05,58.6
04001451,MATH-03,90.1
04009391,CE-03,87.7
04005220,BME-05,78.9
04001580,BIO-02,59.9
04006941,BIO-03,82.0
04007811,ECON-05,82.2
04004970,ECON-04,79.2
04007040,EE-02,76.6
04001290,HIST-03,73.9
04000791,HIST-05,80.6
04003781,LAW-02,76.2
04004540,MUS-01,52.7
04005141,ENV-02,46.7
04008130,LAW-02,81.2
04004860,BIO-05,59.3
04009941,MUS-04,50.6
04009040,ECON-03,91.5
04001281,SOC-02,69.1
04000081,SOC-03,87.5
04009641,BIO-02,31.4
04003841,HIST-04,74.4
04003991,HIST-04,77.4
04006171,MATH-05,38.9
04003991,ENV-05,53.7
04009901,MUS-02,40.5
04009880,EE-04,84.9
04009511,MUS-03,80.9
04003421,BIO-01,86.2
04003460,SOC-02,88.2
04004321,HIST-04,73.0
04000430,SE-01,83.9
04006181,ME-05,81.1
04004321,ENV-05,76.7
04002771,EE-03,77.8
04003920,MATH-01,79.3
04007011,SOC-04,69.5
04004570,ENV-04,52.9
04002970,ECON-03,65.6
04008081,MATH-02,92.5
04001870,BME-05,93.3
04009511,CE-05,67.8
04008271,SOC-04,77.5
04001500,HIST-03,77.8
04001550,CE-04,85.8
04002561,PHYS-04,35.2
04005881,LAW-01,54.5
04008300,BME-01,94.9
04004520,ECON-04,72.8
04005081,ART-01,72.0
04007231,MATH-03,87.7
04007460,HIST-05,81.2
04003730,HIST-03,54.0
04009651,CE-04,74.8
04008861,PHYS-04,51.6
04003220,LAW-05,94.7
04001460,CE-04,51.8
04008361,PHYS-05,75.6
04000140,CS-01,87.9
04005341,SE-03,72.8
04003641,BIO-04,78.5
04002841,HIST-02,90.0
04002881,ART-01,71.1
04005370,SE-02,73.7
04006040,ART-05,65.2
04007270,HIST-02,66.5
04003361,CS-05,72.5
04007110,MUS-01,73.7
04000410,BIO-05,80.7
04009540,EE-05,70.2
04001180,EE-02,72.8
04009391,ME-02,53.8
04008311,BME-03,98.5
04005321,ART-05,55.8
04009120,CE-04,69.6
04005360,ENV-05,34.2
04000971,CE-05,44.0
04003761,ENV-02,73.9
04005310,BIO-02,60.4
04002350,ART-03,72.0
04009880,ME-03,89.7
04007150,SE-05,87.5
04009980,CHEM-02,75.4
04006050,STAT-02,73.5
04000361,STAT-04,67.6
04002821,PSY-05,54.0
04003530,BIO-05,60.1
04002990,CE-03,70.6
04004801,MUS-02,88.4
04002721,SOC-01,95.7
04002721,SOC-04,65.1
04007631,EE-01,80.2
04000090,ECON-05,86.4
04005330,ECON-03,30.0
04002461,PHYS-01,78.0
04006680,BIO-04,45.2
04007021,ENV-05,65.7
04009701,CE-02,81.1
04009221,STAT-05,76.2
04003911,PHIL-03,85.6
04009371,LAW-03,81.9
04002111,BIO-03,71.8
04001060,PHIL-05,96.7
04009880,CE-05,91.7
04001170,MATH-05,50.4
04007291,BME-05,66.7
04008690,CE-05,63.1
04005840,PHYS-03,90.8
04002401,BME-02,84.2
04002561,LAW-05,60.6
04000941,PHIL-03,59.6
04005231,HIST-02,66.0
04006661,LAW-01,34.2
04006250,PHYS-03,72.4
04009451,SE-03,96.8
04008441,PSY-02,89.6
04006670,PHYS-05,67.2
04003720,SE-02,38.1
04008081,CS-02,54.2
04005251,PHIL-03,74.0
04005081,PHYS-05,71.6
04004811,ME-03,30.0
04007720,CE-01,86.3
04007101,ECON-02,73.9
04001441,MATH-03,65.4
04005881,BME-01,63.3
04001001,CS-01,68.2
04006941,ME-05,80.8
04007440,CHEM-03,84.1
04006560,CE-04,71.9
04008081,CHEM-01,30.0
04008430,CS-03,77.8
04002190,SE-02,42.4
04007470,ENV-03,80.9
04002180,LAW-04,54.7
04006800,STAT-01,74.2
04006501,ENV-02,86.4
04005440,HIST-01,67.5
04008590,LAW-02,89.6
04004930,PSY-04,82.4
04002751,BME-03,57.2
04007991,MUS-01,82.5
04008881,CE-04,51.6
04004660,MATH-05,95.5
04007920,CS-04,82.0
04005511,HIST-02,78.1
04006941,ENV-01,43.2
04003300,LAW-03,37.2
04002090,CE-04,81.2
04003421,MATH-05,47.9
04009270,PSY-02,60.5
04003151,BIO-02,73.8
04002830,LAW-02,42.7
04002611,ENV-05,53.4
04008170,EE-03,56.6
04003801,STAT-05,66.2
04008390,ECON-03,72.2
04007080,ECON-05,95.2
04008570,ME-04,53.2
04001290,BIO-03,69.1
04003510,MATH-03,56.6
04005991,BME-01,77.7
04004941,BME-05,86.6
04003641,SOC-03,74.0
04003070,ENV-01,80.5
04002230,ART-04,73.4
04006661,SOC-04,84.7
04007210,ENV-02,61.2
04000651,STAT-04,92.1
04009310,PSY-01,77.4
04005231,SOC-02,64.1
04007820,CHEM-05,87.9
04007470,CS-05,34.5
04000461,STAT-02,60.4
04009661,CS-04,76.9
04002291,CS-01,37.8
04009740,ART-01,54.8
04007410,CHEM-03,67.2
04008620,CS-05,60.0
04006861,BIO-04,47.0
04005050,LAW-01,92.9
04009551,MATH-02,67.3
04000351,MATH-04,86.1
04001550,MUS-05,44.8
04000700,LAW-01,83.0
04002071,CS-01,49.5
04006661,BME-01,63.6
04005020,BME-04,52.5
04005041,MATH-05,85.7
04002420,ART-01,44.0
04003621,SE-04,67.1
04000990,PSY-01,53.4
04004221,CS-05,84.8
04005890,ECON-04,63.8
04008291,STAT-04,64.4
04005760,STAT-03,71.0
04002951,BIO-03,80.7
04007651,PSY-01,75.8
04001601,CE-05,60.0
04002221,SOC-04,72.6
04001010,MATH-04,62.7
04001460,MUS-05,69.3
04005100,PHYS-01,74.8
04003540,MUS-04,60.0
04000870,ENV-05,81.8
04001230,CHEM-03,86.0
04004280,STAT-03,93.2
04002701,ME-01,86.5
04006340,BME-02,47.5
04001941,ME-04,87.2
04006861,BME-04,73.5
04004091,HIST-02,91.2
04003321,MATH-02,71.9
04002691,PHIL-04,72.4
04005061,BIO-04,79.6
04006930,EE-04,77.2
04008191,CHEM-02,81.3
04004240,EE-05,93.5
04008750,CE-02,73.5
04005511,SOC-02,74.0
04000700,SE-05,86.2
04001540,ENV-05,69.7
04001831,SOC-01,58.8
04004680,EE-01,60.8
04008731,SOC-04,63.6
04000851,LAW-03,57.6
04002670,SE-02,71.4
04008191,STAT-01,77.7
04006581,PHYS-02,77.9
04007580,CE-01,80.2
04004101,MATH-03,59.0
04002080,MATH-02,80.5
04008170,CE-04,99.3
04005410,MATH-01,58.2
04004720,LAW-02,96.5
04004131,CE-04,30.0
04005741,BME-05,49.8
04009761,ART-02,54.3
04004221,CHEM-01,62.3
04002240,MUS-02,76.7
04000030,MATH-03,46.2
04008200,PHYS-03,95.4
04004200,PSY-01,81.2
04006290,CHEM-02,75.7
04008031,MUS-04,70.6
04000570,MUS-05,62.5
04007171,STAT-04,69.4
04005471,BME-04,54.8
04009740,PHYS-05,71.2
04000030,STAT-05,85.1
04008871,EE-03,94.4
04006811,BME-05,83.8
04000381,STAT-05,73.7
04000960,MATH-03,75.2
04001611,MATH-03,77.9
04009901,STAT-01,91.8
04007331,MUS-02,44.1
04003151,BME-02,74.2
04008040,PSY-03,54.9
04004460,BME-03,86.9
04005851,CE-01,64.8
04002420,PHYS-05,83.8
04005380,MUS-03,75.1
04003111,CE-04,80.2
04009210,PHIL-02,85.0
04000880,CE-02,77.4
04003851,MUS-04,69.5
04004001,SE-03,77.1
04007991,ECON-01,68.9
04006450,MATH-03,57.3
04003941,CE-03,59.5
04009761,PHIL-01,78.2
04008501,CS-05,73.7
04005151,MUS-04,56.7
04004801,ME-01,98.9
04006270,LAW-05,49.1
04006450,STAT-05,45.5
04000081,HIST-03,92.6
04006930,ME-03,63.8
04001410,SOC-01,73.4
04009551,CHEM-01,71.7
04006310,SOC-02,67.2
04001410,SOC-04,83.7
04005030,PHIL-04,81.6
04000101,CE-04,30.0
04004091,SOC-02,70.4
04001301,HIST-04,66.2
04009761,CHEM-05,79.1
04002060,ART-02,72.9
04002090,ART-02,55.0
04006811,HIST-05,75.7
04004151,BME-02,71.6
04002701,ECON-01,78.9
04004021,ENV-04,80.8
04006861,SOC-03,80.9
04006571,BME-04,87.4
04005650,SE-01,52.4
04005670,CE-03,58.1
04009621,PSY-02,50.6
04006531,CE-04,44.4
04005380,LAW-02,30.0
04002371,CE-04,91.1
04009801,SE-05,80.1
04009300,EE-02,91.7
04005290,SOC-01,52.1
04001400,ART-03,61.1
04009681,PHIL-04,71.8
04008371,CS-04,83.4
04001471,MUS-02,82.3
04004511,CS-03,58.9
04005461,MATH-05,84.1
04007870,MUS-02,89.2
04003091,SOC-03,74.5
04007071,ART-04,71.0
04001081,CE-05,60.3
04003500,ENV-01,95.0
04005351,BIO-03,65.1
04004780,BME-02,73.0
04005961,ENV-03,58.8
04004741,CE-05,67.4
04000781,CS-03,74.1
04006430,ENV-02,95.1
04009771,ART-03,78.5
04004321,LAW-01,86.3
04002251,STAT-05,53.7
04005061,SOC-03,88.7
04004141,LAW-05,73.6
04002951,ME-05,68.0
04007800,BIO-03,96.0
04005910,ART-05,80.4
04003871,BME-05,81.1
04004570,CE-03,65.5
04005471,SOC-03,58.9
04006150,MUS-04,58.6
04007310,PHYS-01,69.4
04004161,CS-04,69.5
04004511,MATH-05,36.6
04009951,BIO-04,86.5
04003051,SOC-01,77.5
04001780,LAW-01,92.0
04007980,LAW-03,87.7
04003841,SE-05,83.0
04003991,SE-05,88.3
04005131,STAT-01,87.2
04002951,ENV-01,91.9
04007321,LAW-02,76.6
04001980,STAT-02,31.0
04006701,PHYS-01,44.5
04008520,STAT-05,99.7
04003431,ECON-02,73.9
04004860,PSY-02,75.7
04001951,ENV-05,77.3
04009481,CHEM-01,74.9
04000800,PHIL-05,74.4
04007731,STAT-05,78.3
04004801,ECON-01,92.9
04002500,ME-03,51.1
04009030,CS-02,34.1
04003761,ECON-03,84.9
04002060,SE-01,81.8
04001320,PHIL-04,91.7
04002010,STAT-03,73.6
04002101,MATH-03,49.3
04006250,ECON-02,65.4
04003970,SE-04,62.8
04004110,ECON-02,42.8
04004581,MATH-03,84.1
04007191,STAT-01,95.5
04006901,CE-01,84.2
04005670,ME-02,86.0
04004691,HIST-03,76.0
04004581,STAT-05,71.1
04009030,CHEM-01,66.2
04005301,CE-02,95.6
04006571,SOC-03,66.4
04002801,BME-04,85.1
04005760,PHYS-05,49.4
04002470,CE-01,69.8
04004770,PSY-03,87.7
04001640,HIST-02,86.8
04009001,CE-03,86.4
04000110,STAT-01,61.1
04008170,MUS-05,41.6
04001580,MUS-03,96.9
04002740,PSY-01,68.5
04004131,MUS-05,64.4
04007220,PSY-01,68.3
04002401,MUS-03,68.9
04006280,ME-05,90.5
04006491,ECON-03,66.9
04007760,ENV-02,72.6
04002891,LAW-05,99.4
04009711,LAW-04,75.1
04008441,ENV-03,58.9
04009540,SE-02,85.2
04001431,PSY-05,95.0
04005370,ENV-04,93.9
04002530,SE-01,84.3
04003711,BME-05,74.5
04004700,PHYS-01,80.0
04006640,STAT-03,85.5
04005020,EE-01,88.6
04006651,LAW-04,93.3
04007791,CS-02,90.0
04007941,BME-04,82.8
04008110,CS-01,64.5
04004321,BME-01,62.6
04004061,EE-01,95.8
04002131,BME-02,76.6
04008561,HIST-05,55.8
04004590,HIST-02,82.5
04000171,STAT-03,67.6
04003610,EE-02,62.7
04005560,ENV-04,58.6
04002401,LAW-02,74.6
04007791,CHEM-01,80.2
04000211,PHYS-03,68.3
04006501,ECON-03,51.7
04009740,BIO-05,71.6
04002281,STAT-05,38.1
04008160,ECON-03,57.3
04007021,SE-05,42.0
04006861,EE-01,89.7
04002780,ENV-03,84.9
04008970,LAW-05,74.9
04003790,ART-03,86.6
04009780,MUS-03,71.0
04005290,SE-04,72.5
04006970,BME-01,45.8
04004121,BME-03,80.2
04003880,CE-01,81.4
04000261,SE-04,73.6
04003711,HIST-05,67.4
04007631,SE-02,61.6
04002420,BIO-05,51.5
04006000,ART-05,83.7
04005440,CE-01,80.8
04003370,ECON-03,75.6
04008320,BME-03,55.9
04000361,MUS-04,73.5
04002240,ME-01,92.5
04002901,PSY-02,95.6
04002420,MATH-05,79.0
04009941,STAT-03,60.0
04001191,CS-04,62.5
04009511,MUS-02,70.2
04003001,SE-04,41.0
04006080,MATH-03,64.9
04008020,STAT-01,80.5
04004651,MATH-03,48.1
04007331,ME-01,64.8
04001640,SOC-02,91.8
04008191,PSY-04,87.7
04004181,CHEM-04,79.0
04003181,BME-02,68.8
04005360,BME-01,56.3
04009320,CE-03,96.4
04007161,SE-01,68.1
04002611,LAW-01,81.8
