CID,CNAME,PERIOD,CREDIT,TEACHER
STAT-30,采矿学,48,2.5,胥孝川
STAT-31,医学伦理学,48,2.5,魏琳
STAT-32,宇宙简史,64,4.0,李向东
STAT-33,健康评估,48,2.5,孙玉梅
STAT-34,传感器技术,4,0.5,吴琼水
STAT-35,神韵诗研究,64,4.0,王小舒
STAT-36,信号与系统,32,2.0,孟桥
STAT-37,中国现代文学,32,2.0,李怡
STAT-38,模拟电子技术基础,32,2.0,杜湘瑜
STAT-39,模拟电子线路A,32,2.0,黄丽亚
STAT-40,电路,32,2.0,罗先觉
STAT-41,信号与系统,16,1.0,陈后金
STAT-42,法国语言文化入门,48,2.5,杜燕
STAT-43,大学语文,64,4.0,张天来
STAT-44,广告创意学,48,2.5,李正良
STAT-45,电工与电子技术实验,32,2.0,高玄怡
STAT-46,中国历代服饰赏析,48,2.5,谢红
STAT-47,电路（上）,64,4.0,齐超
STAT-48,新媒体用户分析,32,2.0,余红
STAT-49,大学物理实验及仿真,32,2.0,蒋逢春
STAT-50,生物统计学,48,2.5,管荣展
PHIL-01,现代教育技术,32,2.0,傅钢善
PHIL-02,美食鉴赏与食品创新设计,32,2.0,李斌
PHIL-03,工科数学分析（一）,32,2.0,杨小远
PHIL-04,高等数学（一）,16,1.0,朱传喜
PHIL-05,地质学基础,48,2.5,袁晏明
PHIL-06,周口店野外地质实践教学,32,2.0,袁晏明
PHIL-07,外国文学经典选读与现实观照,4,0.5,邹涛
PHIL-08,机械制图及数字化表达,64,4.0,杨薇
PHIL-09,战略管理,48,2.5,王娟
PHIL-10,创业基础,48,2.5,邓汉慧
PHIL-11,药理学,16,1.0,陈建国
PHIL-12,核反应堆物理,48,2.5,曹欣荣
PHIL-13,航空航天概论,64,4.0,杨超
PHIL-14,会计学原理,64,4.0,程淑珍
PHIL-15,流行病学基础（一）,4,0.5,吴涛
PHIL-16,流行病学基础（二）,32,2.0,吴涛
PHIL-17,设计思维与创新设计,32,2.0,张克俊
PHIL-18,中国近现代史纲要,48,2.5,吴争春
PHIL-19,国际金融,48,2.5,汪洋
PHIL-20,中国近现代史纲要,4,0.5,段治文
PHIL-21,经济地理学,48,2.5,曾刚
PHIL-22,工程图学,64,4.0,孙毅
PHIL-23,生物信息学,16,1.0,魏天迪
PHIL-24,有机化学,64,4.0,龚跃法
PHIL-25,材料导论,64,4.0,赵静
PHIL-26,机械制造基础,64,4.0,齐乐华
PHIL-27,材料工程基础,4,0.5,何永佳
PHIL-28,工程图学,48,2.5,蒋丹
PHIL-29,金属材料学,32,2.0,张静
PHIL-30,材料科学基础（下）,48,2.5,王永欣
PHIL-31,材料科学基础（上）,32,2.0,王永欣
PHIL-32,公司金融学,48,2.5,许志
PHIL-33,微生物学,48,2.5,陈雯莉
PHIL-34,口腔探密,64,4.0,王予江
PHIL-35,货币金融学,48,2.5,蒋先玲
PHIL-36,财政学,48,2.5,钟晓敏
PHIL-37,电工学,32,2.0,张继红
PHIL-38,金融学,48,2.5,孙清
PHIL-39,金融学,48,2.5,张强
PHIL-40,金融学,48,2.5,李健
PHIL-41,化工热力学,4,0.5,夏淑倩
PHIL-42,作物育种学,16,1.0,刘玲珑
PHIL-43,经济学思维方式,32,2.0,俞炜华
PHIL-44,国际金融,48,2.5,孟昊
PHIL-45,国际贸易实务,48,2.5,沈克华
PHIL-46,公司理财,48,2.5,包晓岚
PHIL-47,经济学,16,1.0,马永开
PHIL-48,计量经济学,32,2.0,陈磊
PHIL-49,博弈论基础,48,2.5,蒋文华
PHIL-50,投资学,48,2.5,刘志东
SOC-01,经济学导论,4,0.5,施丹
SOC-02,统计学,16,1.0,李金昌
SOC-03,电路分析基础,64,4.0,李小平
SOC-04,电路理论,64,4.0,颜秋容
SOC-05,现代数字电子技术基础,16,1.0,陈龙
SOC-06,信号与系统,16,1.0,李树涛
SOC-07,光纤通信,32,2.0,沈建华
SOC-08,遗传与分子生物学实验,4,0.5,章军
SOC-09,社会调查与统计分析,48,2.5,卢小君
SOC-10,消防系统工程与应用,48,2.5,高素美
SOC-11,细胞生物学：细胞社会的奥秘,64,4.0,黄峙
SOC-12,编译原理,32,2.0,陈鄞
SOC-13,英语演讲技巧与实训,48,2.5,张春敏
SOC-14,教学设计原理与方法,64,4.0,谢幼如
SOC-15,创新与创业管理,4,0.5,赵波
SOC-16,会计学（面向非会计专业学生）,48,2.5,赵雪媛
SOC-17,模拟电路基础,48,2.5,何松柏
SOC-18,自动控制原理（二）,16,1.0,樊慧津
SOC-19,数字电子技术基础,16,1.0,周波
SOC-20,数字电路与系统,16,1.0,李文渊
SOC-21,电路（下）,64,4.0,刘洪臣
SOC-22,数字逻辑设计及应用,48,2.5,姜书艳
SOC-23,概率论与数理统计,32,2.0,赵鲁涛
SOC-24,线性代数,32,2.0,闫桂峰
SOC-25,数据库系统（中）：建模与设计,16,1.0,战德臣
SOC-26,数据库系统（下）：管理与技术,64,4.0,战德臣
SOC-27,数据库系统（上）：模型与语言,64,4.0,战德臣
SOC-28,计算机专业导论,48,2.5,战德臣
SOC-29,大学计算机—计算思维导论,64,4.0,战德臣
SOC-30,材料力学,32,2.0,刘静
SOC-31,组织学与胚胎学,64,4.0,石玉秀
SOC-32,唐诗经典,64,4.0,胡可先
SOC-33,工程力学,48,2.5,王元勋
SOC-34,趣味生物学实验,32,2.0,郭卫华
SOC-35,细胞生物学,64,4.0,邹方东
SOC-36,流体力学,16,1.0,刘志军
SOC-37,钢结构,32,2.0,曹平周
SOC-38,机械原理,32,2.0,李翠玲
SOC-39,画法几何及土木工程制图（上）,64,4.0,王子茹
SOC-40,画法几何及土木工程制图（下）,32,2.0,王子茹
SOC-41,法律基础,48,2.5,唐力
SOC-42,软件工程,48,2.5,张爽
SOC-43,C++程序设计,64,4.0,魏英
SOC-44,理论力学,4,0.5,张娟
SOC-45,数学实验,48,2.5,龚劬
SOC-46,概率论与数理统计,48,2.5,方茹
SOC-47,中国电影经典影片鉴赏,16,1.0,周星
SOC-48,模拟电子技术,32,2.0,刘颖
SOC-49,模拟电子技术基础,16,1.0,赵进全
SOC-50,微处理器与嵌入式系统设计,32,2.0,阎波
ART-01,社会工作概论,64,4.0,吴同
ART-02,声乐演唱基础,64,4.0,陈刚
ART-03,“互联网+”创新应用,64,4.0,谭玲玲
ART-04,医学微生物学,32,2.0,徐纪茹
ART-05,古代汉语,32,2.0,王统尚
ART-06,程序设计与算法（三）C++面向对象程序设计,4,0.5,郭炜
ART-07,程序设计与算法（二）算法基础,32,2.0,郭炜
ART-08,程序设计与算法（一）C语言程序设计,48,2.5,郭炜
ART-09,多媒体技术与应用,48,2.5,李湘梅
ART-10,古文字学,16,1.0,肖圣中
ART-11,秦汉考古,16,1.0,张玲
ART-12,网络与新媒体应用模式,48,2.5,李卫东
ART-13,文学创意写作,48,2.5,刘海涛
ART-14,你好，中文（中级） Intermediate Chinese,64,4.0,王骏
ART-15,大学物理专题：质点力学、刚体与流体、电磁学、相对论,32,2.0,周雨青
ART-16,智圆行方的世界——中国传统文化概论,32,2.0,史怀刚
ART-17,莎士比亚戏剧赏析,64,4.0,刘洪涛
ART-18,西方文学经典鉴赏,64,4.0,刘洪涛
ART-19,管理会计学,16,1.0,李玉周
ART-20,病理生理学,32,2.0,肖献忠
ART-21,创业计划,64,4.0,梅强
ART-22,结构力学（一）,16,1.0,蔡婧
ART-23,线性代数与空间解析几何,48,2.5,郑宝东
ART-24,线性代数,64,4.0,宋叔尼
ART-25,漫谈数学与军事,32,2.0,李建平
ART-26,工程振动测试技术,4,0.5,刘习军
ART-27,随机信号分析,32,2.0,李兵兵
ART-28,局部解剖学,16,1.0,李振中
ART-29,金属材料及热处理,32,2.0,徐林红
ART-30,计算机系统基础（二）：程序的执行和存储访问,64,4.0,袁春风
ART-31,计算机系统基础(一)：程序的表示、转换与链接,48,2.5,袁春风
ART-32,大学英语综合课程（四）,32,2.0,梁晓波
ART-33,英语语法与写作,64,4.0,朱湘军
ART-34,英语词汇与文化,48,2.5,朱湘军
ART-35,信息素养通识教程：数字化生存的必修课,32,2.0,潘燕桃
ART-36,工程合同管理,16,1.0,李启明
ART-37,材料力学,64,4.0,甄玉宝
ART-38,无机及分析化学（上）,64,4.0,王运
ART-39,大学英语自学课程（上）,16,1.0,张敬源
ART-40,基础德语,48,2.5,范黎坤
ART-41,英国文学导读,4,0.5,邓小红
ART-42,电子线路设计、测试与实验（二）,4,0.5,梁琨
ART-43,电子线路设计、测试与实验（一）,32,2.0,梁琨
ART-44,现代通信技术,32,2.0,纪红
ART-45,模拟电子技术基础,64,4.0,邓天平
ART-46,数字图像处理,32,2.0,郭志强
ART-47,App Inventor-零基础Android移动应用开发,64,4.0,吴明晖
ART-48,思辨式英文写作,32,2.0,唐磊
ART-49,数学文化十讲,16,1.0,顾沛
ART-50,纺纱学,48,2.5,郁崇文
MUS-01,大学生涯规划与职业发展,32,2.0,魏超
MUS-02,中国古代文学,32,2.0,郭丹
MUS-03,中国文化概论,64,4.0,李建中
MUS-04,护理学基础（上篇）,48,2.5,王克芳
MUS-05,意在象中——中国古典诗词鉴赏,16,1.0,于丹
MUS-06,音乐导聆,32,2.0,安宁
MUS-07,“爱上广告”——广告艺术鉴赏,4,0.5,余洋
MUS-08,大学美学,4,0.5,杨红旗
MUS-09,内科护理学,32,2.0,张静平
MUS-10,艺术导论,32,2.0,黎荔
MUS-11,摄影艺术创作,48,2.5,郭艳民
MUS-12,聆听中国,48,2.5,王蕾
MUS-13,书法学堂,16,1.0,冯辉荣
MUS-14,影视鉴赏,64,4.0,罗书俊
MUS-15,《论语》教育智慧品绎,48,2.5,黄明喜
MUS-16,会计学原理,64,4.0,房桃峻
MUS-17,计算机程序设计（C++）,32,2.0,赵英良
MUS-18,生理学,48,2.5,罗自强
MUS-19,生物化学与分子生物学,48,2.5,孙军
MUS-20,中国饮食文化,48,2.5,谢定源
MUS-21,3D工程图学,64,4.0,阮春红
MUS-22,细胞生物学,16,1.0,叶军
MUS-23,陶瓷工艺学,48,2.5,于岩
MUS-24,生物化学实验,4,0.5,张冬梅
MUS-25,生物化学,16,1.0,吴石金
MUS-26,土力学,64,4.0,廖红建
MUS-27,化学反应工程,16,1.0,许志美
MUS-28,动物生理学,16,1.0,李大鹏
MUS-29,木与人类文明,48,2.5,高伟
MUS-30,走进地理学,64,4.0,李满春
MUS-31,药物化学,16,1.0,尤启冬
MUS-32,工程材料基础,4,0.5,王继平
MUS-33,机械设计基础,48,2.5,徐亮
MUS-34,数字信号处理,48,2.5,杨震
MUS-35,民法与生活,32,2.0,钟瑞栋
MUS-36,通信原理,48,2.5,何雪云
MUS-37,数学竞赛选讲,32,2.0,张天德
MUS-38,线性代数精讲与应用案例,32,2.0,高淑萍
MUS-39,逻辑学导论,48,2.5,李静
MUS-40,人力资源管理,48,2.5,朱飞
MUS-41,市场营销,16,1.0,左仁淑
MUS-42,证券投资学,16,1.0,周建国
MUS-43,周易概论,48,2.5,刘震
MUS-44,企业资源计划,32,2.0,张真继
MUS-45,C#程序设计,16,1.0,刘君瑞
MUS-46,微机原理与接口技术,64,4.0,吴宁
MUS-47,大学计算机,48,2.5,吴宁
MUS-48,计算机网络,64,4.0,钱燕
MUS-49,编译原理,48,2.5,王挺
MUS-50,网络空间安全概论,64,4.0,郭文忠
SE-01,Java程序设计,32,2.0,唐大仕
SE-02,c#程序设计,32,2.0,唐大仕
SE-03,大学计算机基础,48,2.5,周海芳
SE-04,数字电子技术基础,32,2.0,罗笑冰
SE-05,营商的法律智慧：商法,32,2.0,朱义坤
SE-06,药物分析,48,2.5,柳文媛
SE-07,化工原理（上）,32,2.0,丁忠伟
SE-08,身体运动功能训练,64,4.0,尹军
SE-09,科学计算与MATLAB语言,16,1.0,刘卫国
SE-10,光学,32,2.0,Min CHEN
SE-11,宏观经济学原理,16,1.0,赵英军
SE-12,投资与理财,64,4.0,周春喜
SE-13,互联网金融概论,64,4.0,Jianjun Li 李建军
SE-14,通信原理,32,2.0,马东堂
SE-15,电动力学,4,0.5,谢双媛
SE-16,普通物理,64,4.0,王祖源
SE-17,理论力学,64,4.0,刘文彪
SE-18,大学物理-力学和热学,64,4.0,刘永录
SE-19,成本会计学,32,2.0,孟全省
SE-20,基础会计,32,2.0,张娆
SE-21,财务报表编制,32,2.0,陈朝晖
SE-22,综合能力训练（ERP模拟经营沙盘）,48,2.5,邹燕
SE-23,网络文学与文化,48,2.5,龚岚
SE-24,生物学概念与途径,48,2.5,饶毅
SE-25,工程伦理学,48,2.5,肖平
SE-26,模拟电子技术基础,32,2.0,刘纪红
SE-27,电力电子学,32,2.0,段善旭
SE-28,运动疗法,64,4.0,王雪强
SE-29,工程测试技术基础,48,2.5,何岭松
SE-30,工程制图,48,2.5,罗远新
SE-31,中华茶礼仪,64,4.0,朱海燕
SE-32,病原生物与人类,64,4.0,邵红霞
SE-33,微波技术基础,32,2.0,游佰强
SE-34,电磁场与电磁波,64,4.0,邵小桃
SE-35,电机学,48,2.5,李勇
SE-36,微电子器件,32,2.0,刘继芝
SE-37,高频电子线路,16,1.0,刘彩霞
SE-38,模拟电子技术基础,32,2.0,刘波粒
SE-39,数字电子技术基础,16,1.0,齐明
SE-40,中药学,48,2.5,王建
SE-41,农业植物病理学,48,2.5,刘国坤
SE-42,微积分启蒙,16,1.0,李尚志
SE-43,钢结构基本原理,32,2.0,赵宪忠
SE-44,走近中华优秀传统文化,16,1.0,张亮
SE-45,建筑设计空间基础认知,32,2.0,孙澄
SE-46,理解马克思,48,2.5,张亮
SE-47,电子技术实验基础（一：电路分析),32,2.0,李朝海
SE-48,电工学,4,0.5,肖军
SE-49,医学免疫学,16,1.0,施桥发
SE-50,病理生理学,64,4.0,魏蕾
CE-01,项目管理,48,2.5,白思俊
CE-02,文化差异与跨文化交际,64,4.0,曾利娟
CE-03,唐宋诗词与传统文化,32,2.0,胡海义
CE-04,大学化学,64,4.0,邱海霞
CE-05,审计学,48,2.5,李越冬
CE-06,国防教育——军事理论,64,4.0,问鸿滨
CE-07,生物制药工艺学（技术与基础）,4,0.5,高向东
CE-08,中医诊断学（上）,64,4.0,王天芳
CE-09,健康评估,64,4.0,李琨
CE-10,材料力学,32,2.0,王安强
CE-11,互换性与测量技术基础,32,2.0,马惠萍
CE-12,高等代数（上）,64,4.0,杜妮
CE-13,概率论与数理统计,48,2.5,赵小艳
CE-14,外国文学史（一）,16,1.0,蒋承勇
CE-15,外国文学史（二）,48,2.5,蒋承勇
CE-16,新媒体概论,32,2.0,韦路
CE-17,宋词经典,64,4.0,陶然
CE-18,应用写作技能与规范,32,2.0,王用源
CE-19,方言与中国文化,64,4.0,阮桂君
CE-20,大学语文,32,2.0,党怀兴
CE-21,管理沟通：思维与技能,16,1.0,张莉
CE-22,法学通论,4,0.5,张德淼
CE-23,数学建模,32,2.0,方红
CE-24,会计学,16,1.0,罗金明
CE-25,数学实验,64,4.0,张勇
CE-26,数值分析,48,2.5,邵新慧
CE-27,分析化学,48,2.5,林翠英
CE-28,网络信息计量与评价,48,2.5,肖明
CE-29,管理运筹学,32,2.0,韩伯棠
CE-30,德育原理,32,2.0,刘济良
CE-31,材料科学基础,32,2.0,赵杰
CE-32,文化创意产业,32,2.0,袁勇麟
CE-33,名人与近代中国,48,2.5,李宝艳
CE-34,古诗今读,32,2.0,韩经太
CE-35,世界文明专题（古代部分）,64,4.0,杨共乐
CE-36,运动训练学,32,2.0,陈亮
CE-37,航空燃气涡轮发动机结构设计,64,4.0,洪杰
CE-38,中医护理学,32,2.0,徐桂华
CE-39,寄生人体的恶魔—医学寄生虫学,48,2.5,彭鸿娟
CE-40,医学统计学,64,4.0,郝元涛
CE-41,计算机组成原理,48,2.5,纪禄平
CE-42,离散数学,48,2.5,刘铎
CE-43,土木工程施工基本原理,64,4.0,徐伟
CE-44,高级财务会计,64,4.0,路国平
CE-45,运筹学,32,2.0,刘满凤
CE-46,高级计量经济学,48,2.5,洪永淼
CE-47,多元统计分析,64,4.0,王学民
CE-48,西方现代化视野下的英美文学,48,2.5,李成坚
CE-49,印象英美——穿越时空之旅,32,2.0,骆蓉
CE-50,电路分析基础,16,1.0,刘陈
BME-01,通信原理,32,2.0,李晓峰
BME-02,微机原理与接口技术,16,1.0,戴胜华
BME-03,电工技术与电子技术（二）（电工学 下）,48,2.5,王香婷
BME-04,大学物理—电磁学,48,2.5,胡海云
BME-05,F3：财务会计,32,2.0,骆蕾
BME-06,大学物理—力学与热学,32,2.0,刘兆龙
BME-07,结构力学,48,2.5,陈朝晖
BME-08,观赏植物分类学,64,4.0,李先源
BME-09,动物学,64,4.0,姬伟
BME-10,环境污染事件与应急响应,4,0.5,田光进
BME-11,人工智能：模型与算法,16,1.0,吴飞
BME-12,体育与健康,48,2.5,汪晓赞
BME-13,有机化学,16,1.0,王俊儒
BME-14,材料力学,32,2.0,乔玲
BME-15,实用大众线性代数(MATLAB版),4,0.5,杨威
BME-16,线性代数,64,4.0,陈建龙
BME-17,复变函数,32,2.0,吴慧卓
BME-18,C语言程序设计精髓,32,2.0,苏小红
BME-19,药理学,32,2.0,魏敏杰
BME-20,营养学,64,4.0,王素青
BME-21,病理与健康,64,4.0,陈平圣
BME-22,寄生虫病与食品安全,32,2.0,刘文琪
BME-23,农业昆虫学,16,1.0,李怡萍
BME-24,中医与诊断—学做自己的医生,4,0.5,孙立
BME-25,人体科学,32,2.0,袁崇刚
BME-26,英语演讲艺术,16,1.0,常虹
BME-27,土地经济学,32,2.0,冯淑怡
BME-28,财务报表分析,32,2.0,郭炜
BME-29,土力学,64,4.0,沈扬
BME-30,计算机组成原理（下）,48,2.5,刘宏伟
BME-31,计算机组成原理（上）,32,2.0,刘宏伟
BME-32,用Python玩转数据,16,1.0,张莉
BME-33,大数据技术原理与应用,32,2.0,林子雨
BME-34,现代科技与人类未来,16,1.0,刘金寿
BME-35,水族景观规划与设计,48,2.5,王春芳
BME-36,学前儿童健康教育,48,2.5,顾荣芳
BME-37,中级会计学,32,2.0,王昌锐
BME-38,品牌管理,16,1.0,肖阳
BME-39,金融风险管理,32,2.0,朱淑珍
BME-40,生物大数据,32,2.0,何华勤
BME-41,商务英语,32,2.0,袁奇
BME-42,针灸学导论,16,1.0,马文珠
BME-43,马克思主义基本原理,32,2.0,林贤明
BME-44,马克思主义基本原理,32,2.0,王岩
BME-45,分析化学（一）：化学分析,16,1.0,宦双燕
BME-46,职场英语,32,2.0,杨安文
BME-47,线性代数,64,4.0,秦静
BME-48,外经贸英语函电,16,1.0,张云清
BME-49,植物生理学,16,1.0,李玲
BME-50,系统解剖学,32,2.0,丁兆习
ENV-01,大学英语写作基础,48,2.5,江桂英
ENV-02,大学日语,32,2.0,张文丽
ENV-03,国际学术交流英语,48,2.5,王松
ENV-04,英语语音,48,2.5,卜友红
ENV-05,国际贸易学,32,2.0,赵春明
ENV-06,中医健康理念,4,0.5,李灿东
ENV-07,教师职业道德与教育政策法规,16,1.0,许映建
ENV-08,波动光学,4,0.5,管曙光
ENV-09,无机化学（上）,16,1.0,胡涛
ENV-10,工程力学——材料力学,64,4.0,黄丽华
ENV-11,工程力学——静力学,48,2.5,黄丽华
ENV-12,工程热力学,64,4.0,王丽伟
ENV-13,花卉学,64,4.0,胡惠蓉
ENV-14,婚恋-职场-人格,32,2.0,张晓文
ENV-15,爱情心理学,64,4.0,张晓文
ENV-16,音乐心理学,32,2.0,蒋存梅
ENV-17,药理学,48,2.5,张岫美
ENV-18,分析化学（二）：仪器分析,64,4.0,宦双燕
ENV-19,计算机网络基础及应用,32,2.0,丁晟春
ENV-20,画法几何,64,4.0,王迎
ENV-21,微积分（三）,48,2.5,苏德矿
ENV-22,微积分（一）,64,4.0,苏德矿
ENV-23,微积分（二）,64,4.0,苏德矿
ENV-24,线性代数与解析几何,16,1.0,李换琴
ENV-25,数学竞赛选讲,32,2.0,赵小艳
ENV-26,钻井与完井工程,64,4.0,曾德智
ENV-27,人文地理学,48,2.5,孔翔
ENV-28,石油工业概论,64,4.0,张卫东
ENV-29,分析化学,32,2.0,帅琴
ENV-30,程序设计基础,64,4.0,苏小红
ENV-31,微生物学与免疫学实验,64,4.0,张连茹
ENV-32,食品标准与法规,64,4.0,于修烛
ENV-33,普通昆虫学（一）,32,2.0,周兴苗
ENV-34,轮机自动化,16,1.0,甘辉兵
ENV-35,文化遗产与自然遗产,48,2.5,李江敏
ENV-36,自动控制原理,16,1.0,张爱民
ENV-37,电子技术（电工学 下）,48,2.5,章艳
ENV-38,电工技术（电工学 上）,32,2.0,章艳
ENV-39,电工电子学,48,2.5,张冬至
ENV-40,网络技术与应用,32,2.0,杨庚
ENV-41,物理化学（下）,32,2.0,冯霞
ENV-42,数据结构,32,2.0,陈卫卫
ENV-43,物理化学（上）,32,2.0,刘俊吉
ENV-44,网络技术与应用实验,64,4.0,俞海英
ENV-45,网络技术与应用,32,2.0,沈鑫剡
ENV-46,计算机组成原理,16,1.0,秦磊华
ENV-47,混凝土结构设计原理,16,1.0,常鹏
ENV-48,大学信息技术基础,32,2.0,陈琼
ENV-49,C语言程序设计,32,2.0,朱鸣华
ENV-50,数据库系统原理,64,4.0,党德鹏
LAW-01,软件工程,16,1.0,孙艳春
LAW-02,职熵—大学生职业素养与能力提升,16,1.0,曹娟
LAW-03,概率论与数理统计,32,2.0,赵进
LAW-04,高等数学—微积分(2),32,2.0,蒋晓芸
LAW-05,大学物理1：力学、相对论,48,2.5,武荷岚
LAW-06,热学,16,1.0,欧阳颀
LAW-07,证券投资学,32,2.0,余学斌
LAW-08,弹性力学,48,2.5,王钦亭
LAW-09,普通化学,64,4.0,胡涛
LAW-10,化学与社会,16,1.0,胡涛
LAW-11,信息素养与实践——给你一双学术慧眼,16,1.0,龚芙蓉
LAW-12,植物学,64,4.0,姚家玲
LAW-13,中药安全用药导论,48,2.5,张冰
LAW-14,物理化学（二）,32,2.0,王旭珍
LAW-15,物理化学（一）,48,2.5,王旭珍
LAW-16,现代仪器分析,16,1.0,杨桂娣
LAW-17,学前儿童游戏,48,2.5,杨枫
LAW-18,管理学,64,4.0,赵卫东
LAW-19,公关与沟通:“互联网+”社交机制与艺术,48,2.5,单凤儒
LAW-20,“互联网+”管理学,64,4.0,单凤儒
LAW-21,认识飞行,48,2.5,匡江红
LAW-22,岩石学,16,1.0,邵龙义
LAW-23,茶韵茶魂—安溪铁观音,4,0.5,林金科
LAW-24,理论力学,48,2.5,孙毅
LAW-25,数据结构,32,2.0,陈越
LAW-26,走进性科学,64,4.0,江剑平
LAW-27,植物学,4,0.5,刘文哲
LAW-28,营养与健康讲座,64,4.0,姚闽娜
LAW-29,口腔解剖生理学,16,1.0,孙慧玲
LAW-30,数字逻辑设计,32,2.0,张彦航
LAW-31,外科手术技能教学,16,1.0,房林
LAW-32,营养与健康,32,2.0,郑伟娟
LAW-33,巧克毕业论文,4,0.5,彭迪云
LAW-34,仪器分析,48,2.5,杨屹
LAW-35,工程信号与系统,64,4.0,郭宝龙
LAW-36,信号与系统,48,2.5,郭宝龙
LAW-37,中国茶道,48,2.5,朱海燕
LAW-38,药用植物学,16,1.0,李涛
LAW-39,农业气象学,48,2.5,吴仁烨
LAW-40,结晶学及矿物学,32,2.0,赵珊茸
LAW-41,佛教文化,64,4.0,高文强
LAW-42,自动控制原理,64,4.0,王燕舞
LAW-43,会计学原理,16,1.0,徐晔
LAW-44,现代控制理论基础,64,4.0,郭建国
LAW-45,英美诗歌名篇选读,16,1.0,黄宗英
LAW-46,教学论,64,4.0,王本陆
LAW-47,程序设计基础（C&C++）,4,0.5,戴波
LAW-48,数据结构与算法,16,1.0,林劼
LAW-49,分子生物学,64,4.0,刘静
LAW-50,婚姻家庭法,16,1.0,王歌雅
